iter	Passed	Remaining
0	58	17435
1	60	8943
2	62	6168
3	64	4760
4	66	3914
5	68	3341
6	69	2927
7	72	2644
8	74	2407
9	76	2212
10	79	2081
11	81	1957
12	83	1843
13	85	1750
14	87	1667
15	89	1591
16	91	1523
17	93	1463
18	95	1408
19	97	1359
20	99	1315
21	100	1274
22	102	1235
23	104	1199
24	106	1167
25	108	1139
26	110	1115
27	112	1089
28	114	1069
29	116	1046
30	118	1024
31	120	1005
32	121	985
33	123	968
34	125	950
35	127	933
36	129	919
37	131	907
38	133	893
39	135	879
40	137	868
41	140	861
42	142	849
43	143	837
44	145	826
45	148	817
46	149	806
47	151	796
48	153	787
49	155	777
50	157	768
51	159	759
52	161	752
53	163	744
54	165	736
55	167	728
56	169	724
57	171	716
58	173	708
59	175	701
60	177	694
61	179	687
62	181	681
63	182	674
64	184	668
65	186	662
66	188	656
67	190	650
68	192	644
69	194	639
70	196	634
71	198	628
72	201	625
73	203	621
74	205	615
75	206	609
76	209	605
77	211	600
78	213	596
79	215	591
80	217	586
81	218	582
82	221	577
83	223	573
84	225	569
85	226	564
86	228	559
87	230	555
88	232	551
89	234	548
90	236	543
91	238	539
92	240	535
93	243	532
94	245	529
95	247	525
96	249	521
97	251	518
98	253	515
99	255	511
100	258	508
101	260	504
102	261	500
103	263	497
104	266	495
105	268	492
106	270	487
107	272	484
108	274	481
109	278	480
110	280	476
111	282	474
112	284	470
113	286	467
114	288	464
115	290	460
116	292	457
117	294	454
118	296	450
119	298	447
120	300	444
121	302	441
122	304	437
123	306	434
124	308	431
125	310	428
126	312	425
127	314	422
128	316	419
129	318	415
130	320	412
131	322	410
132	324	407
133	326	404
134	328	401
135	330	398
136	333	396
137	335	394
138	337	391
139	339	388
140	341	385
141	343	381
142	344	378
143	346	375
144	348	372
145	350	369
146	352	366
147	354	363
148	356	360
149	357	357
150	359	355
151	362	352
152	364	349
153	366	347
154	368	344
155	370	341
156	372	339
157	374	336
158	376	333
159	378	330
160	380	328
161	382	326
162	384	323
163	386	320
164	388	317
165	389	314
166	392	312
167	394	309
168	397	307
169	399	305
170	400	302
171	402	299
172	404	297
173	406	294
174	408	291
175	409	288
176	411	286
177	414	283
178	415	281
179	417	278
180	419	275
181	421	273
182	423	270
183	425	268
184	427	265
185	429	263
186	431	260
187	432	257
188	434	255
189	436	252
190	438	250
191	440	247
192	442	245
193	445	243
194	446	240
195	448	238
196	450	235
197	452	233
198	454	230
199	456	228
200	459	226
201	461	223
202	463	221
203	465	218
204	466	216
205	469	214
206	471	211
207	472	209
208	474	206
209	476	204
210	478	201
211	480	199
212	482	196
213	484	194
214	486	192
215	487	189
216	490	187
217	492	185
218	494	182
219	496	180
220	498	178
221	500	175
222	502	173
223	504	171
224	506	168
225	508	166
226	510	164
227	512	161
228	514	159
229	516	157
230	520	155
231	522	153
232	524	150
233	526	148
234	528	146
235	530	143
236	532	141
237	535	139
238	536	137
239	539	134
240	540	132
241	543	130
242	545	127
243	547	125
244	548	123
245	550	120
246	553	118
247	554	116
248	556	114
249	558	111
250	560	109
251	562	107
252	564	104
253	567	102
254	568	100
255	570	98
256	572	95
257	574	93
258	577	91
259	579	89
260	582	86
261	584	84
262	586	82
263	588	80
264	590	77
265	592	75
266	594	73
267	596	71
268	598	68
269	600	66
270	602	64
271	604	62
272	606	59
273	608	57
274	610	55
275	612	53
276	614	50
277	616	48
278	618	46
279	620	44
280	622	42
281	624	39
282	626	37
283	629	35
284	631	33
285	634	31
286	635	28
287	637	26
288	639	24
289	642	22
290	644	19
291	646	17
292	648	15
293	650	13
294	652	11
295	654	8
296	656	6
297	658	4
298	660	2
299	663	0
